date,coin,news_count,pos,neu,neg,mean_sentiment
2018-05-19,ETH,7,0,7,0,0
2018-05-19,XRP,4,0,4,0,0
2018-05-20,BTC,6,0,6,0,0
2018-05-20,ETH,4,0,4,0,0
2018-05-21,BTC,17,0,17,0,0
2018-05-21,ETH,5,0,5,0,0
2018-05-22,BTC,20,0,20,0,0
2018-05-22,ETH,1,0,1,0,0
2018-05-22,LTC,1,0,1,0,0
2018-05-22,XRP,2,0,2,0,0
2018-05-23,ADA,1,0,1,0,0
2018-05-23,BTC,19,0,19,0,0
2018-05-23,ETH,3,0,3,0,0
2018-05-24,ADA,1,0,1,0,0
2018-05-24,BTC,13,0,13,0,0
2018-05-24,ETH,1,0,1,0,0
2018-05-24,LTC,1,0,1,0,0
2018-05-24,XRP,6,0,6,0,0
2018-05-25,BTC,16,0,16,0,0
2018-05-25,ETH,3,0,3,0,0
2018-05-25,LTC,2,0,2,0,0
2018-05-25,XRP,5,0,5,0,0
2018-05-26,BTC,11,0,11,0,0
2018-05-26,ETH,5,0,5,0,0
2018-05-27,BTC,8,0,8,0,0
2018-05-27,ETH,1,0,1,0,0
2018-05-28,BTC,13,0,13,0,0
2018-05-28,ETH,3,0,3,0,0
2018-05-29,BTC,13,0,13,0,0
2018-05-29,ETH,5,0,5,0,0
2018-05-29,XRP,1,0,1,0,0
2018-05-30,ADA,1,0,1,0,0
2018-05-30,BTC,5,0,5,0,0
2018-05-30,ETH,4,0,4,0,0
2018-05-30,XRP,6,0,6,0,0
2018-05-31,BTC,15,0,15,0,0
2018-05-31,ETH,3,0,3,0,0
2018-05-31,LTC,1,0,1,0,0
2018-05-31,XRP,4,0,4,0,0
2018-06-01,BTC,8,0,8,0,0
2018-06-01,ETH,2,0,2,0,0
2018-06-01,LTC,1,0,1,0,0
2018-06-01,XRP,4,0,4,0,0
2018-06-02,BTC,3,0,3,0,0
2018-06-02,ETH,4,0,4,0,0
2018-06-02,LTC,1,0,1,0,0
2018-06-02,XRP,3,0,3,0,0
2018-06-03,BTC,9,0,9,0,0
2018-06-03,ETH,2,0,2,0,0
2018-06-03,XRP,1,0,1,0,0
2018-06-04,BTC,12,0,12,0,0
2018-06-04,ETH,4,0,4,0,0
2018-06-04,XRP,1,0,1,0,0
2018-06-05,BNB,1,0,1,0,0
2018-06-05,BTC,18,0,18,0,0
2018-06-05,ETH,3,0,3,0,0
